# Processado em: 2025-03-10T18:29:05.562124
,data_da_medicao,niveldagua_m,date,tempo_s
3102,28/09/2021,23.46,2021-09-28,686102400.0
3103,29/09/2021,23.43,2021-09-29,686188800.0
3104,30/09/2021,23.46,2021-09-30,686275200.0
3105,01/10/2021,23.47,2021-10-01,686361600.0
3106,02/10/2021,23.47,2021-10-02,686448000.0
3107,03/10/2021,23.48,2021-10-03,686534400.0
3108,04/10/2021,23.49,2021-10-04,686620800.0
3109,05/10/2021,23.51,2021-10-05,686707200.0
3110,06/10/2021,23.5,2021-10-06,686793600.0
3111,07/10/2021,23.49,2021-10-07,686880000.0
3112,08/10/2021,23.51,2021-10-08,686966400.0
3113,09/10/2021,23.51,2021-10-09,687052800.0
3114,10/10/2021,23.5,2021-10-10,687139200.0
3115,11/10/2021,23.48,2021-10-11,687225600.0
3116,12/10/2021,23.49,2021-10-12,687312000.0
3117,13/10/2021,23.49,2021-10-13,687398400.0
3118,14/10/2021,23.65,2021-10-14,687484800.0
3119,15/10/2021,23.73,2021-10-15,687571200.0
3120,16/10/2021,23.54,2021-10-16,687657600.0
3121,17/10/2021,23.52,2021-10-17,687744000.0
3122,18/10/2021,23.52,2021-10-18,687830400.0
3123,19/10/2021,23.52,2021-10-19,687916800.0
3124,20/10/2021,23.52,2021-10-20,688003200.0
3125,21/10/2021,23.52,2021-10-21,688089600.0
3126,22/10/2021,23.51,2021-10-22,688176000.0
3127,23/10/2021,23.52,2021-10-23,688262400.0
3128,24/10/2021,23.71,2021-10-24,688348800.0
3129,25/10/2021,23.57,2021-10-25,688435200.0
3130,26/10/2021,23.65,2021-10-26,688521600.0
3131,27/10/2021,23.55,2021-10-27,688608000.0
3132,28/10/2021,23.49,2021-10-28,688694400.0
3133,29/10/2021,23.4,2021-10-29,688780800.0
3134,30/10/2021,23.38,2021-10-30,688867200.0
3135,31/10/2021,23.38,2021-10-31,688953600.0
3136,01/11/2021,23.56,2021-11-01,689040000.0
3137,02/11/2021,23.34,2021-11-02,689126400.0
